,County,EVs
0,Alameda,70
1,Alpine,2
2,Amador,13
3,Butte,24
4,Calaveras,21
5,Colusa,7
6,Contra Costa,51
7,Del Norte,6
8,El Dorado,30
9,Fresno,100
10,Glenn,7
11,Humboldt,38
12,Imperial,17
13,Inyo,12
14,Kern,69
15,Kings,9
16,Lake,15
17,Lassen,16
18,Los Angeles,525
19,Madera,13
20,Marin,41
21,Mariposa,8
22,Mendocino,28
23,Merced,22
24,Modoc,10
25,Mono,7
26,Monterey,35
27,Napa,12
28,Nevada,16
29,Orange,149
30,Placer,29
31,Plumas,16
32,Riverside,101
33,Sacramento,133
34,San Benito,5
35,San Bernardino,121
36,San Diego,189
37,San Francisco,72
38,San Joaquin,43
39,San Luis Obispo,35
40,San Mateo,40
41,Santa Barbara,41
42,Santa Clara,108
43,Santa Cruz,22
44,Shasta,32
45,Sierra,7
46,Siskiyou,22
47,Solano,16
48,Sonoma,51
49,Stanislaus,28
50,Sutter,10
51,Tehama,13
52,Trinity,12
53,Tulare,41
54,Tuolumne,16
55,Ventura,48
56,Yolo,21
57,Yuba,12
